local;estacao;patrimonio;item_informado;tipo;fabricante;modelo;numero_serie;status_importacao;observacoes
T.I;Auxiliar TI;1367;Mouse 1367 modelo ms116t1;Mouse;Dell Inc.;Mouse Dell MS116;;OK;"Levantamento atual: T.I / Auxiliar TI.; Item informado: Mouse 1367 modelo ms116t1.; Nome GLPI: MOUSE 1367.; Referencia GLPI desatualizada: grupo=T.i; usuario=-.; Origem GLPI: glpi (11).csv."
T.I;Auxiliar TI;1019;Teclado 1019 Kb4021;Teclado;Dell Inc.;DELL - Teclado USB KB-4021;;OK;"Levantamento atual: T.I / Auxiliar TI.; Item informado: Teclado 1019 Kb4021.; Nome GLPI: TECLADO 1019.; Referencia GLPI desatualizada: grupo=T.i; usuario=-.; Origem GLPI: glpi (11).csv."
T.I;Auxiliar TI;0004;Monitor 0004 E178wfp;Monitor;Dell Inc.;DELL E178WFP;;OK;"Levantamento atual: T.I / Auxiliar TI.; Item informado: Monitor 0004 E178wfp.; Nome GLPI: DELL 0004.; Referencia GLPI desatualizada: grupo=Aton - 8° Andar - BBS Docs; usuario=-.; Origem GLPI: glpi (9).csv."
T.I;Auxiliar TI;0103;Monitor 0103 E178wfp;Monitor;;;;REVISAO;"Levantamento atual: T.I / Auxiliar TI.; Item informado: Monitor 0103 E178wfp.; Nome GLPI: Monitor 0103 E178wfp.; Revisar: patrimonio nao localizado nas planilhas GLPI fornecidas; descricao baseada no levantamento manual."
T.I;Gabriel;0115;Monitor 0115 Philips 170s;Monitor;Philips Consumer Electronics Company;Philips 170S;;OK;"Levantamento atual: T.I / Gabriel.; Item informado: Monitor 0115 Philips 170s.; Nome GLPI: Philips 0115.; Referencia GLPI desatualizada: grupo=T.i; usuario=-.; Origem GLPI: glpi (9).csv."
T.I;Gabriel;1398;Dell 1398 SE2216H;Monitor;Dell Inc.;DELL SE2216H;;OK;"Levantamento atual: T.I / Gabriel.; Item informado: Dell 1398 SE2216H.; Nome GLPI: DELL 1398.; Referencia GLPI desatualizada: grupo=T.i; usuario=-.; Origem GLPI: glpi (9).csv."
T.I;Gabriel;1212;Mouse 1212 Ms116;Mouse;Dell Inc.;Mouse Dell MS116;;OK;"Levantamento atual: T.I / Gabriel.; Item informado: Mouse 1212 Ms116.; Nome GLPI: MOUSE 1212.; Referencia GLPI desatualizada: grupo=T.i; usuario=-.; Origem GLPI: glpi (11).csv."
T.I;Gabriel;1072;Teclado 1072 Kb4021;Teclado;Dell Inc.;DELL - Teclado USB KB-4021;;OK;"Levantamento atual: T.I / Gabriel.; Item informado: Teclado 1072 Kb4021.; Nome GLPI: TECLADO 1072.; Referencia GLPI desatualizada: grupo=T.i; usuario=-.; Origem GLPI: glpi (11).csv."
T.I;Gabriel;1785;Mouse para notebook 1785 Ms116;Mouse;Dell Inc.;Mouse Dell MS116;;OK;"Levantamento atual: T.I / Gabriel.; Item informado: Mouse para notebook 1785 Ms116.; Nome GLPI: MOUSE 1785.; Referencia GLPI desatualizada: grupo=T.i; usuario=-.; Origem GLPI: glpi (11).csv."
T.I;Mesa para manuten??o;1343;Mouse 1343 Ms116;Mouse;Dell Inc.;Mouse Dell MS116;;OK;"Levantamento atual: T.I / Mesa para manuten??o.; Item informado: Mouse 1343 Ms116.; Nome GLPI: MOUSE 1343.; Referencia GLPI desatualizada: grupo=T.i; usuario=-.; Origem GLPI: glpi (11).csv."
T.I;Mesa para manuten??o;1286;Teclado 1286 kb216;Teclado;Dell Inc.;DELL - Teclado USB KB-216;;OK;"Levantamento atual: T.I / Mesa para manuten??o.; Item informado: Teclado 1286 kb216.; Nome GLPI: TECLADO 1286.; Referencia GLPI desatualizada: grupo=T.i; usuario=-.; Origem GLPI: glpi (11).csv."
T.I;Mesa para manuten??o;0040;Monitor 0040 E178Wfp;Monitor;Dell Inc.;DELL E178WFP;;OK;"Levantamento atual: T.I / Mesa para manuten??o.; Item informado: Monitor 0040 E178Wfp.; Nome GLPI: DELL E178WFP 0040.; Referencia GLPI desatualizada: grupo=Armario T.i; usuario=-.; Origem GLPI: glpi (9).csv."
